Pressure  (hPa),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1000,-1.518394,-1.55826,-0.827148,0.402308,1.416338,2.268526,2.725548,2.90773,2.413878,1.566657,0.481821,-0.66139
925,-1.894675,-1.81666,-0.927976,0.309549,1.274785,2.202687,2.822154,2.979981,2.290015,1.325287,0.270923,-0.909051
850,-1.037518,-0.964502,-0.407081,0.138981,0.391453,0.846898,1.320722,1.430876,1.032293,0.574687,0.124211,-0.423885
700,-0.269979,-0.467835,-0.344609,-0.272949,-0.406635,-0.630544,-0.451691,-0.373772,-0.317075,-0.075473,-0.09811,-0.150126
600,-0.368596,-0.438312,-0.280836,-0.290651,-0.599106,-0.681952,-0.545988,-0.480581,-0.363705,-0.144731,-0.098483,-0.104548
500,-0.369118,-0.414273,-0.265052,-0.164765,-0.208202,-0.075707,0.060247,0.061352,0.166472,0.147889,0.099662,-0.051784
400,-0.203233,-0.206041,-0.192189,-0.18893,-0.070648,0.040163,0.078613,-0.09485,-0.025945,0.002177,0.041479,-0.044803
300,0.118216,0.098648,-0.111659,-0.637516,-0.622051,-0.966159,-1.242482,-1.444699,-1.093384,-0.658692,-0.35833,0.04074
250,0.75626,0.861948,0.288014,-0.774111,-1.467576,-2.749422,-3.315787,-3.69616,-3.099433,-1.942687,-1.063858,0.077295
200,1.400928,1.681454,0.566799,-1.070497,-2.681418,-5.244061,-6.166193,-6.880973,-6.193571,-4.389908,-2.719428,-0.44496
150,1.677156,2.098492,0.459735,-1.48465,-3.318883,-5.727757,-6.589543,-7.435359,-6.89579,-5.661576,-4.14141,-1.230251
100,1.244936,0.858715,0.340618,-0.181071,-0.280613,-0.246354,-0.53325,-0.499037,-0.348823,-0.171013,-0.033192,0.32149
70,0.087431,0.025269,0.105973,0.129848,0.203846,0.131792,-0.009388,0.027851,0.141024,0.253316,0.28755,0.225765
50,0.159051,0.120636,0.060242,-0.061343,-0.096687,-0.091656,-0.126131,-0.110483,-0.023972,0.04728,0.122716,0.218485
30,0.456596,0.361233,0.297489,0.219485,0.19087,0.100856,0.05821,0.06147,0.197237,0.348973,0.451922,0.475736
20,0.524272,0.324988,0.184145,0.128199,0.095165,0.129039,0.164962,0.15724,0.217463,0.317092,0.43001,0.5224
10,-0.051937,-0.042758,0.14657,0.361206,0.228007,0.07566,0.149071,0.177358,0.132131,0.249827,0.353609,0.212482
